item_code,item_name,description,brand,item_group,stock_uom,uom_conversions,barcode,manufacturer_part_no,disabled,available_qty,list_price
ACM-BALL0511,"Hitex Ball Valve 1"" PVC","Ball Valve 1"", material: PVC. Brand Hitex. Sold per Nos.",Hitex,All Items > Hardware > Ball Valve,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,150,33.04
ACM-HEXB1049,Kanto Hex Bolt M8x75 Stainless 304,"Hex Bolt M8x75, finish: Stainless 304. Brand Kanto. Sold per Pcs.",Kanto,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,150,30.87
ACM-HEXB0883,Hitex Hex Bolt M12x60 Stainless 304,"Hex Bolt M12x60, finish: Stainless 304. Brand Hitex. Sold per Pcs.",Hitex,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,HIT700034,0,0,310.72
ACM-PVCP1029,Tolsen PVC Pipe 32mm Class C,"PVC Pipe 32mm, grade: Class C. Brand Tolsen. Sold per Length.",Tolsen,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",,TOL704045,0,0,306.35
ACM-ANGL0886-OLD,"Kanto Angle Grinder Disc 7"" Grinding","Angle Grinder Disc 7"", grade: Grinding. Brand Kanto. Sold per Packet. (superseded)",Kanto,All Items > Hardware > Angle Grinder Disc,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,,1,0,369.24
ACM-SELF0149,"Bosco Self Drilling Screw #8 x 3/4"" Stainless 410","Self Drilling Screw #8 x 3/4"", finish: Stainless 410. Brand Bosco. Sold per Packet.",Bosco,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,0,464.41
ACM-SAFE0582,Hitex Safety Helmet White Standard,"Safety Helmet White, grade: Standard. Brand Hitex. Sold per Nos.",Hitex,All Items > Hardware > Safety Helmet,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,12,27.19
ACM-HEXB0936,Tolsen Hex Bolt M8x75 Stainless 304,"Hex Bolt M8x75, finish: Stainless 304. Brand Tolsen. Sold per Pcs.",Tolsen,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",903801726452,,0,3,149.99
ACM-PVCP0949,Remax PVC Pipe 25mm Class C,"PVC Pipe 25mm, grade: Class C. Brand Remax. Sold per Length.",Remax,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",943325325172,,0,150,128.85
ACM-HEXB0987,Kanto Hex Bolt M8x50 Stainless 304,"Hex Bolt M8x50, finish: Stainless 304. Brand Kanto. Sold per Pcs.",Kanto,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",955787382703,KAN200314,0,40,62.53
